time_seconds,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
0.019504,2.305616,8.439561,3.306392,0.000000,0.000000,0.000000,1.00000000,0.00000000,0.00000000,0.00000000
0.024202,2.518700,8.355764,3.292027,0.111788,-0.097738,0.054367,1.00000000,0.00000000,0.00000000,0.00000000
0.039519,3.174711,8.394072,3.409343,0.014050,-0.064141,0.084910,1.00000000,0.00000000,0.00000000,0.00000000
0.059027,3.318364,8.353370,3.679888,-0.018937,-0.054978,0.039706,0.80946261,0.55875909,-0.10109936,0.14945775
0.078503,3.213019,8.458714,3.713407,-0.015272,0.000611,-0.003665,0.82512969,0.52645540,-0.20491053,-0.00418383
0.098170,3.102885,8.540117,3.610456,-0.017104,0.020159,-0.022602,0.82665014,0.52554774,-0.20112000,-0.00018306
0.118543,3.035848,8.535329,3.636792,-0.039706,0.015882,-0.015882,0.82687163,0.52646023,-0.19779246,0.00102979
0.138369,3.002329,8.518570,3.833117,-0.057421,-0.028100,-0.007330,0.82726157,0.52469617,-0.20066433,-0.00813234
0.158983,3.043030,8.513782,4.072537,-0.037874,-0.052534,0.017104,0.82864773,0.51811171,-0.20999841,-0.02835470
0.178772,3.107674,8.429984,4.137180,0.001833,-0.006720,0.014661,0.83086401,0.50989026,-0.21807627,-0.04603902
0.198839,2.990358,8.439561,3.976769,0.047037,0.022602,0.021991,0.83323634,0.50398713,-0.22114827,-0.05298705
0.218900,2.987964,8.420407,3.785233,0.055589,0.023824,0.047647,0.83388686,0.50197464,-0.22208446,-0.05772929
0.239016,3.203442,8.449138,3.770868,0.053756,-0.009774,0.064141,0.83374655,0.50494736,-0.21749246,-0.05091130
0.259049,3.253720,8.398860,3.830723,0.040928,0.034819,0.038485,0.83292657,0.50526482,-0.22000758,-0.05037362
0.279679,3.380613,8.281544,3.715801,0.071471,-0.031154,0.040317,0.83228594,0.50197428,-0.22777283,-0.05866522
